long,lat,name,cbg,cb,down_stream,up_stream
-121.77708141944412,38.553360672683,['P10-001-1'],061130105122,061130105122000,"[(-121.77626840622126, 38.552981330545876)]","[(-121.77762047871126, 38.55347425887198)]"
-121.77627038183331,38.55291109276053,['P10-014-1'],061130105122,061130105122005,"[(-121.77626840622126, 38.552981330545876)]","[(-121.77627070659713, 38.552603947517916), (-121.77453466549122, 38.55289351695091)]"
-121.77627110300816,38.55356165105022,['P10-004-1'],061130105122,061130105122000,"[(-121.77627144380831, 38.553904118142796)]","[(-121.77658440831479, 38.5535641701952), (-121.77463961442783, 38.553549996634885), (-121.77626840622126, 38.552981330545876)]"
-121.77627146138022,38.55142683334339,['P10-025-1'],061130105122,061130105122005,"[(-121.77627070659713, 38.552603947517916)]","[(-121.77627285354421, 38.5505728597848)]"
-121.77658440831479,38.5535641701952,['P10-003-1'],061130105122,061130105122000,"[(-121.77627110300816, 38.55356165105022)]","[(-121.77667672999124, 38.55352637389971)]"
-121.77218676663902,38.560892869406615,['O10-003-1'],061130105121,061130105121000,"[(-121.77051162158986, 38.560846865461514)]","[(-121.77264785354986, 38.56089896853388)]"
-121.77385837256773,38.5609163367576,['O10-002-1'],061130105112,061130105112000,"[(-121.77264785354986, 38.56089896853388)]","[(-121.77627702036915, 38.56094877346719)]"
-121.76961413475237,38.56072013560653,['O10-023-1'],061130105121,061130105121000,"[(-121.76884720179795, 38.562323891131136)]","[(-121.77051162158986, 38.560846865461514)]"
-121.77762047871126,38.55347425887198,['P09-039-1'],061130105122,061130105122000,"[(-121.77708141944412, 38.553360672683)]","[(-121.77908870192302, 38.55347668085638)]"
-121.77908870192302,38.55347668085638,['P09-038-1'],061130105122,061130105122000,"[(-121.77762047871126, 38.55347425887198)]","[(-121.77972694945979, 38.55333502115208)]"
-121.77388079776622,38.55288576227912,['P10-016-1'],061130105122,061130105122001,"[(-121.77453466549122, 38.55289351695091)]","[(-121.77305080607188, 38.55287896434191), (-121.77379125685593, 38.552062093286054)]"
-121.77379125685593,38.552062093286054,['P10-027-1'],061130105122,061130105122005,"[(-121.77388079776622, 38.55288576227912)]","[(-121.77466234432076, 38.55207260428028), (-121.77266688494485, 38.552039628048156), (-121.77369646482141, 38.55132698034892)]"
-121.77627285354421,38.5505728597848,['P10-034-1'],061130105122,061130105122012,"[(-121.77627146138022, 38.55142683334339)]","[(-121.77802026797747, 38.55060055622157), (-121.77494177889874, 38.55055149960204), (-121.77627070175534, 38.5497060738426)]"
-121.77368955224509,38.5505356699105,['P10-036-1'],061130105122,061130105122004,"[(-121.77494177889874, 38.55055149960204)]",[]
-121.77494177889874,38.55055149960204,['P10-035-1'],061130105122,061130105122012,"[(-121.77627285354421, 38.5505728597848)]","[(-121.77368955224509, 38.5505356699105)]"
-121.77453466549122,38.55289351695091,['P10-015-1'],061130105122,061130105122001,"[(-121.77627038183331, 38.55291109276053)]","[(-121.77388079776622, 38.55288576227912)]"
-121.77463961442783,38.553549996634885,['P10-005-1'],061130105122,061130105122000,"[(-121.77627110300816, 38.55356165105022)]","[(-121.77289675312086, 38.55352901727029)]"
