block_fips,pop2020
61130105053008,111
61130104011062,0
61130104014010,33
61130103123002,227
61130105011013,7
61130115003003,47
61130103101001,0
61130113011031,9
61130106051007,46
61130114002085,6
61130105081006,40
61130102043018,92
61130102012021,43
61130103151026,0
61130112083055,0
61130114002037,27
61130114003022,0
61130114003025,0
61130110021004,51
61130110012005,234
61130112043008,0
61130106022003,108
61130113011025,0
61130108002023,59
61130114002071,0
61130102032011,186
61130112083090,0
61130103132012,95
61130102034017,36
61130113011056,0
61130106092001,50
61130113012012,6
61130102011030,0
61130115004001,55
61130102034003,0
61130112072007,211
61130108002030,0
61130111011013,43
61130102042015,60
61130115001022,1
61130114002055,2
61130115001045,0
61130112031008,90
61130101021058,0
61130103122003,175
61130112083022,0
61130114002100,35
61130115005009,13
61130113031025,17
61130101051013,20
61130112092004,76
61130106084010,40
61130106072001,601
61130102011062,31
61130104011052,10
61130106052003,105
61130109023012,39
61130115005042,0
61130103101005,0
61130106022004,115
61130107014002,22
61130105052031,12
61130112042005,84
61130112041009,77
61130108002019,35
61130105112001,42
61130111011006,13
61130108003022,17
61130105012018,0
61130102012017,28
61130110013028,32
61130109023026,0
61130114001031,0
61130104011025,0
61130104011066,15
61130104011018,10
61130110021009,116
61130110023004,48
61130106101004,259
61130115005031,6
61130101021027,0
61130114001056,0
61130103102019,96
61130112083053,19
61130114002062,0
61130106102003,76
61130102032007,116
61130111011001,0
61130101041006,74
61130101051007,62
61130111012016,110
61130105101000,0
61130113041004,63
61130114003060,90
61130113012021,20
61130115004025,9
61130113012000,1
61130115001015,4
61130113011018,0
61130101044006,519
61130115005002,0
61130106073010,17
61130103102000,171
61130102011061,36
61130105012015,61
61130105082000,14
61130105052039,0
61130113011050,39
61130104021021,91
61130112031006,0
61130112031009,181
61130110013019,59
61130114003068,14
61130104011032,24
61130112083031,45
61130105052026,39
61130107014012,27
61130115004006,58
61130115002030,11
61130108003014,0
61130102011014,0
61130103102009,117
61130112072023,115
61130101031011,75
61130102034023,67
61130105012027,2886
61130109023004,55
61130109023018,118
61130105051013,0
61130103122006,17
61130103122015,89
61130105103000,0
61130103131004,157
61130109011005,39
61130107014031,54
61130112083079,0
61130111032000,78
61130105121001,58
61130104022017,147
61130106072004,85
61130108001010,24
61130111032003,73
61130103151009,134
61130102011038,23
61130115002043,0
61130112101009,56
61130109021008,72
61130110013008,51
61130105051002,31
61130112083065,0
61130102011051,30
61130103131014,153
61130103141003,917
61130105052053,0
61130105052054,0
61130113011043,1
61130114003027,0
61130110013004,17
61130107032002,74
61130112041003,37
61130113012026,8
61130112081020,46
61130105052037,58
61130107011011,8
61130104013004,0
61130111012020,46
61130114002047,0
61130104022009,131
61130113021013,45
61130114001045,15
61130102041008,532
61130112082014,401
61130112083066,0
61130101041011,82
61130112031016,134
61130102044000,742
61130105101001,21
61130103151011,69
61130115002006,0
61130114002116,37
61130115003032,41
61130101051014,0
61130112081001,36
61130115001027,11
61130104021008,39
61130110021002,79
61130104021031,0
61130112072008,163
61130105052043,65
61130112083121,64
61130112071034,1
61130101043009,137
61130102012011,30
61130107011004,142
61130111012010,26
61130101033010,132
61130107014040,22
61130113021000,4
61130104022011,147
61130112083105,0
61130109023023,30
61130114001075,14
61130101051004,0
61130107041016,35
61130105051014,49
61130105091002,81
61130101051000,106
61130112082017,165
61130111022003,60
61130103122002,120
61130115005014,42
61130111012005,32
61130106092015,58
61130107014010,68
61130115005036,10
61130114001068,0
61130115004026,0
61130104014001,0
61130114001012,91
61130115002060,12
61130112082003,1011
61130106092003,36
61130107011016,52
61130107032004,26
61130107041007,82
